Sample Num:,H applied(Oe),H GaussMeter (Oe),Mx (emu),M_X Corrected (emu),Xsi_x,My (emu),Sqrt(mx^2+my^2),Mag Current (A),Set Current (A),Mag Voltage (mV),Mag Coil-1 Temp (°C),Mag Coil-2 Temp (°C),Position (mm),s,time (s),Water Flow (L/min),Avg.Time(s/pnt):1.000000,Coil-Set #:30,Sample:tape_casette_0.2x0.2mm,Time Constant:1 s,Senstivity:5 uv,CoilConstant (mV/emu):30.740000,Version:v2.6.6,MPS Version: 3.5.5,VSM Version: 2.1.2
0,-33.205727,-83.31695,6.61E-06,-1.14E-06,3.00E-09,-1.08E-07,0.00000661,-0.048923,-0.028602,-54.329441,16.71875,17.125,15.898684,0,0.589666,1,,,,,,,,,
1,-13.205727,-3.774041,7.87E-06,-1.19E-07,offset,-2.75E-08,0.00000787,0.009727,-0.011378,-0.006769,16.71875,17.0625,15.892105,0,113.127478,1,,,,,,,,,
2,6.794273,-2.229792,8.07E-06,7.67E-08,8.00E-06,-1.04E-07,0.00000807,0.013904,0.005851,-0.040615,16.71875,17.0625,15.897368,0,225.682373,1,,,,,,,,,
3,26.794273,83.873187,8.25E-06,-1.62E-09,,4.70E-07,0.00000827,0.053215,0.023088,60.631548,16.6875,17.0625,15.9,0,368.18597,1,,,,,,,,,
4,46.794273,46.188624,8.75E-06,6.11E-07,,-1.76E-06,0.00000893,0.021171,0.040242,32.241606,16.71875,17.125,15.901316,0,413.888619,0,,,,,,,,,
5,66.794273,67.816261,7.57E-06,-6.33E-07,,-1.59E-06,0.00000774,0.043315,0.057188,44.297516,16.71875,17.0625,15.896053,0,469.145786,1,,,,,,,,,
6,86.794273,86.990562,7.40E-06,-8.61E-07,,1.03E-06,0.00000747,0.053844,0.073796,56.603886,16.75,17.0625,15.896053,0,514.914032,1,,,,,,,,,
7,106.794273,105.462825,8.05E-06,-2.66E-07,,-5.38E-07,0.00000807,0.067577,0.089939,69.079485,16.71875,17.125,15.889474,0,560.664903,1,,,,,,,,,
8,126.794273,126.045707,1.06E-05,2.22E-06,,-1.81E-06,0.00001073,0.083713,0.105514,81.494162,16.6875,17.0625,15.905263,0,606.400298,1,,,,,,,,,
9,146.794273,146.578152,8.84E-06,4.00E-07,,-7.86E-07,0.00000888,0.096931,0.120728,98.017731,16.71875,17.0625,15.897368,0,652.120264,1,,,,,,,,,
10,166.794273,164.802498,8.46E-06,-3.44E-08,,3.79E-08,0.00000846,0.114612,0.135672,110.615175,16.6875,17.125,15.903947,0,697.851805,1,,,,,,,,,
11,186.794273,188.595808,8.43E-06,-1.36E-07,,-8.99E-08,0.00000844,0.131206,0.150364,130.882101,16.71875,17.0625,15.9,0,734.036707,1,,,,,,,,,
12,206.794273,206.627289,6.54E-06,-2.08E-06,,1.63E-05,0.00001761,0.145053,0.164824,139.289423,16.75,17.0625,15.894737,0,779.804173,1,,,,,,,,,
13,226.794273,225.952572,1.05E-05,1.82E-06,,5.11E-08,0.00001046,0.156383,0.179071,143.466007,16.6875,17.0625,15.910526,0,825.507952,1,,,,,,,,,
14,246.794273,245.883684,1.05E-05,1.76E-06,,-1.02E-07,0.00001046,0.169773,0.193125,153.998852,16.6875,17.0625,15.905263,0,871.206637,1,,,,,,,,,
15,266.794273,268.918491,1.00E-05,1.19E-06,,3.42E-07,0.00001003,0.186424,0.207003,173.947626,16.65625,17.125,15.901316,0,907.408947,1,,,,,,,,,
16,286.794273,285.412716,1.10E-05,2.14E-06,,1.00E-07,0.00001103,0.198783,0.220725,180.506962,16.71875,17.125,15.905263,0,953.176387,1,,,,,,,,,
17,306.794273,305.753704,1.02E-05,1.28E-06,,1.81E-06,0.00001041,0.214347,0.234311,195.060699,16.6875,17.0625,15.893421,0,998.911946,1,,,,,,,,,
18,326.794273,325.340866,1.04E-05,1.42E-06,,-1.89E-09,0.00001044,0.230541,0.247779,213.080257,16.71875,17.0625,15.896053,0,1044.647455,1,,,,,,,,,
19,346.794273,346.345722,1.17E-05,2.66E-06,,4.92E-08,0.00001172,0.240554,0.261148,238.864065,16.71875,17.0625,15.902632,0,1090.383727,1,,,,,,,,,
20,366.794273,368.185513,1.11E-05,2.00E-06,,-2.02E-06,0.00001129,0.260524,0.274438,236.806234,16.6875,17.125,15.906579,0,1126.533024,1,,,,,,,,,
21,386.794273,387.584541,1.30E-05,3.84E-06,,-4.25E-07,0.00001305,0.272884,0.287667,253.512571,16.71875,17.0625,15.911842,0,1162.714909,1,,,,,,,,,
22,406.794273,407.408913,1.13E-05,2.08E-06,,2.52E-07,0.00001127,0.287818,0.300855,264.42449,16.6875,17.0625,15.896053,0,1198.928845,1,,,,,,,,,
23,426.794273,427.557438,1.34E-05,4.12E-06,,-6.59E-07,0.0000134,0.301952,0.314021,279.235456,16.65625,17.125,15.890789,0,1235.126612,1,,,,,,,,,
24,446.794273,446.451187,1.22E-05,2.86E-06,,-2.69E-07,0.00001224,0.313682,0.327184,295.650719,16.6875,17.0625,15.905263,0,1271.308493,1,,,,,,,,,
25,466.794273,468.143532,1.18E-05,2.40E-06,,-1.16E-06,0.00001188,0.331306,0.340363,297.031631,16.65625,17.125,15.901316,0,1307.491142,0,,,,,,,,,
26,516.794273,516.023331,1.31E-05,3.55E-06,,-9.36E-07,0.0000131,0.364494,0.373504,333.3009,16.65625,17.0625,15.903947,0,1343.688453,1,,,,,,,,,
27,566.794273,567.852447,1.45E-05,4.80E-06,,-3.88E-07,0.00001451,0.401229,0.407163,352.660755,16.65625,17,15.907895,0,1379.870186,1,,,,,,,,,
28,616.794273,615.298195,1.29E-05,3.05E-06,,-1.32E-06,0.00001292,0.434932,0.441637,388.869101,16.625,17.0625,15.898684,0,1406.498947,1,,,,,,,,,
29,666.794273,667.477997,1.28E-05,2.80E-06,,-2.41E-06,0.00001303,0.470809,0.477225,420.264559,16.65625,17.0625,15.902632,0,1442.69615,1,,,,,,,,,
30,716.794273,718.011818,1.47E-05,4.55E-06,,-8.28E-07,0.00001472,0.504283,0.514221,451.619402,16.65625,17.0625,15.905263,0,1478.894285,1,,,,,,,,,
31,766.794273,768.6875,1.51E-05,4.79E-06,,3.01E-06,0.00001541,0.539245,0.552701,478.479509,16.65625,17,15.894737,0,1515.061005,1,,,,,,,,,
32,816.794273,818.554665,1.62E-05,5.74E-06,,-1.30E-06,0.00001621,0.573863,0.592423,510.754961,16.65625,17.0625,15.892105,0,1551.242247,1,,,,,,,,,
33,866.794273,866.268974,1.67E-05,6.10E-06,,6.16E-07,0.00001675,0.604133,0.633116,537.452608,16.59375,17,15.901316,0,1596.993641,1,,,,,,,,,
34,916.794273,918.295776,1.43E-05,3.55E-06,,4.53E-07,0.0000143,0.64001,0.674511,566.025318,16.65625,17.0625,15.892105,0,1652.298196,0,,,,,,,,,
35,966.794273,967.586067,1.55E-05,4.60E-06,,-2.03E-06,0.00001568,0.673198,0.716338,596.723551,16.625,17.0625,15.897368,0,1698.018475,1,,,,,,,,,
36,1066.794273,1067.906387,1.84E-05,7.20E-06,,1.59E-06,0.00001846,0.740375,0.800207,650.761917,16.625,17.0625,15.9,0,1753.339096,1,,,,,,,,,
37,1166.794273,1168.137115,1.59E-05,4.40E-06,,3.97E-07,0.00001594,0.806808,0.882566,711.034698,16.625,17.0625,15.903947,0,1808.660108,1,,,,,,,,,
38,1266.794273,1265.017212,1.65E-05,4.70E-06,,5.31E-07,0.00001653,0.872211,0.961257,769.168419,16.65625,17.0625,15.896053,0,1854.347389,0,,,,,,,,,
39,1366.794273,1367.990219,1.60E-05,3.90E-06,,1.09E-06,0.00001605,0.941848,1.034554,828.419054,16.625,17,15.898684,0,1909.636232,1,,,,,,,,,
40,1466.794273,1467.802383,1.78E-05,5.40E-06,,-1.18E-06,0.00001786,1.004619,1.104169,884.068485,16.65625,17.0625,15.905263,0,1964.941508,1,,,,,,,,,
41,1566.794273,1566.905151,2.02E-05,7.50E-06,,-4.64E-07,0.00002024,1.071739,1.171224,948.301237,16.6875,17.0625,15.896053,0,2020.214134,1,,,,,,,,,
42,1666.794273,1667.913696,2.01E-05,7.10E-06,,-3.86E-07,0.00002011,1.13903,1.236463,1003.761131,16.65625,17.0625,15.902632,0,2075.487268,1,,,,,,,,,
43,1766.794273,1768.364075,1.94E-05,6.09E-06,,1.14E-07,0.00001942,1.205577,1.300631,1065.089905,16.6875,17.0625,15.905263,0,2130.761127,1,,,,,,,,,
44,1866.794273,1868.031143,2.15E-05,7.90E-06,,-1.28E-07,0.00002153,1.271781,1.364473,1117.578129,16.65625,17,15.892105,0,2186.048901,1,,,,,,,,,
45,1966.794273,1966.950058,2.02E-05,6.30E-06,,-1.33E-07,0.00002018,1.338043,1.428733,1173.186945,16.65625,17.0625,15.903947,0,2241.370642,1,,,,,,,,,
46,2216.794273,2216.847779,1.93E-05,4.65E-06,,7.91E-07,0.00001928,1.502895,1.594062,1327.957483,16.65625,17.0625,15.898684,0,2296.702865,1,,,,,,,,,
47,2466.794273,2468.321411,2.48E-05,9.40E-06,,-1.24E-06,0.00002483,1.667232,1.761391,1466.001377,16.65625,17.0625,15.903947,0,2351.997466,1,,,,,,,,,
48,2716.794273,2717.407898,2.20E-05,5.85E-06,,2.27E-06,0.00002213,1.829452,1.928549,1609.162771,16.65625,17.0625,15.901316,0,2407.285801,1,,,,,,,,,
49,2966.794273,2966.342499,2.37E-05,6.80E-06,,2.71E-06,0.00002388,1.99213,2.094378,1741.459631,16.65625,17,15.897368,0,2462.543299,1,,,,,,,,,
50,3216.794273,3216.701874,2.57E-05,8.05E-06,,8.16E-07,0.00002575,2.157096,2.259209,1894.916948,16.6875,17.0625,15.898684,0,2517.86388,1,,,,,,,,,
51,3466.794273,3467.397095,2.64E-05,8.00E-06,,-3.30E-06,0.00002659,2.317256,2.423533,2024.465521,16.6875,17,15.897368,0,2573.184903,1,,,,,,,,,
52,3716.794273,3718.388733,2.44E-05,5.24E-06,,-7.14E-07,0.00002445,2.479591,2.58742,2175.452087,16.65625,17,15.901316,0,2628.490117,1,,,,,,,,,
53,3966.794273,3968.406525,2.64E-05,6.49E-06,,-5.40E-08,0.00002637,2.640838,2.750188,2317.970409,16.65625,17.0625,15.910526,0,2683.795644,1,,,,,,,,,
54,4466.794273,4469.261475,2.94E-05,7.99E-06,,-1.42E-06,0.0000294,2.962932,3.080726,2597.720324,16.6875,17.0625,15.907895,0,2739.1423,1,,,,,,,,,
55,4966.794273,4968.3078,2.84E-05,5.50E-06,,-1.93E-06,0.00002845,3.285598,3.423167,2869.909063,16.6875,17,15.888158,0,2794.46951,1,,,,,,,,,
56,5966.794273,5970.752442,3.37E-05,7.79E-06,,5.02E-08,0.00003368,3.919486,4.106504,3434.573776,16.6875,17.0625,15.907895,0,2849.775044,1,,,,,,,,,
57,5966.794273,5966.023987,3.06E-05,4.70E-06,,-5.28E-07,0.00003058,3.913364,4.106504,3412.012098,16.65625,17.0625,15.886842,-1,2914.64899,1,,,,,,,,,
58,4966.794273,4965.646118,3.13E-05,8.40E-06,,-5.79E-07,0.00003135,3.204059,3.423167,2810.759966,16.6875,17.0625,15.903947,-1,2979.476248,1,,,,,,,,,
59,4466.794273,4465.392761,2.50E-05,3.60E-06,,2.44E-06,0.00002513,2.857532,3.080726,2503.269951,16.6875,17.0625,15.902632,-1,3044.350078,1,,,,,,,,,
60,3966.794273,3965.360962,2.58E-05,5.90E-06,,2.70E-06,0.00002591,2.518386,2.750188,2203.632185,16.6875,17.0625,15.902632,-1,3109.161358,1,,,,,,,,,
61,3716.794273,3717.129242,2.99E-05,1.07E-05,,2.30E-06,0.00002999,2.351131,2.58742,2056.260361,16.6875,17.125,15.882895,-1,3174.019849,1,,,,,,,,,
62,3466.794273,3465.850983,2.33E-05,4.90E-06,,3.41E-06,0.00002354,2.183246,2.423533,1918.934,16.71875,17.125,15.914474,-1,3238.877612,1,,,,,,,,,
63,3216.794273,3218.695709,2.55E-05,7.84E-06,,1.16E-06,0.00002555,2.01456,2.259209,1770.269262,16.71875,17.125,15.905263,-1,3313.209911,1,,,,,,,,,
64,2966.794273,2966.786072,2.41E-05,7.20E-06,,1.49E-06,0.0000241,1.845645,2.094378,1613.860582,16.6875,17.0625,15.890789,-1,3378.068464,1,,,,,,,,,
65,2716.794273,2716.017761,2.24E-05,6.25E-06,,1.20E-06,0.00002241,1.677303,1.928549,1477.380369,16.71875,17.125,15.907895,-1,3442.926858,1,,,,,,,,,
66,2466.794273,2465.972931,2.20E-05,6.60E-06,,-8.09E-07,0.00002203,1.512279,1.761391,1327.679947,16.6875,17.0625,15.9,-1,3507.753748,1,,,,,,,,,
67,2216.794273,2216.357056,2.16E-05,6.95E-06,,7.87E-07,0.00002162,1.345081,1.594062,1180.876734,16.75,17.0625,15.897368,-1,3572.595097,1,,,,,,,,,
68,1966.794273,1965.789749,2.14E-05,7.50E-06,,2.68E-07,0.00002137,1.183032,1.428733,1033.044605,16.71875,17.0625,15.903947,-1,3637.42234,1,,,,,,,,,
69,1866.794273,1865.921493,2.10E-05,7.40E-06,,2.78E-07,0.00002103,1.113338,1.364473,981.564989,16.71875,17.0625,15.897368,-1,3702.297434,1,,,,,,,,,
70,1766.794273,1766.181625,2.05E-05,7.20E-06,,6.71E-07,0.00002053,1.047019,1.300631,921.407284,16.71875,17.0625,15.901316,-1,3767.139722,1,,,,,,,,,
71,1666.794273,1665.302383,1.88E-05,5.80E-06,,2.06E-06,0.0000189,0.980873,1.236463,872.127651,16.71875,17.125,15.903947,-1,3832.015125,1,,,,,,,,,
72,1566.794273,1566.080582,1.90E-05,6.30E-06,,-4.56E-07,0.00001902,0.916557,1.171224,804.496771,16.6875,17.125,15.906579,-1,3896.809544,1,,,,,,,,,
73,1466.794273,1464.434677,1.78E-05,5.41E-06,,1.11E-06,0.00001787,0.850067,1.104169,754.580835,16.6875,17,15.892105,-1,3961.668639,0,,,,,,,,,
74,1366.794273,1365.839844,2.24E-05,1.03E-05,,1.76E-06,0.00002245,0.779857,1.034554,691.424383,16.71875,17.0625,15.913158,-1,4026.478975,1,,,,,,,,,
75,1266.794273,1265.101563,1.68E-05,5.00E-06,,-4.41E-07,0.0000168,0.717601,0.961257,637.717707,16.71875,17.0625,15.905263,-1,4091.305782,1,,,,,,,,,
76,1166.794273,1166.366165,1.65E-05,5.00E-06,,1.94E-06,0.00001666,0.653514,0.882566,577.316311,16.6875,17,15.901316,-1,4156.164411,1,,,,,,,,,
77,1066.794273,1065.476105,1.62E-05,5.00E-06,,-1.87E-06,0.00001628,0.583076,0.800207,519.575203,16.71875,17.0625,15.903947,-1,4221.038738,1,,,,,,,,,
78,966.794273,968.704307,1.61E-05,5.19E-06,,-2.21E-06,0.00001627,0.518302,0.716338,463.438391,16.65625,17.0625,15.903947,-1,4276.311907,1,,,,,,,,,
79,916.794273,916.057533,1.40E-05,3.25E-06,,-4.38E-07,0.00001403,0.4846,0.674511,430.919249,16.71875,17,15.906579,-1,4341.074317,1,,,,,,,,,
80,866.794273,864.834465,1.75E-05,6.91E-06,,-3.62E-07,0.00001753,0.449466,0.633116,407.802498,16.71875,17,15.906579,-1,4405.932513,1,,,,,,,,,
81,816.794273,819.117363,1.70E-05,6.54E-06,,1.23E-08,0.00001697,0.420455,0.592423,380.130089,16.6875,17,15.893421,-1,4461.253339,1,,,,,,,,,
82,766.794273,767.280335,1.67E-05,6.40E-06,,-4.22E-07,0.0000167,0.386123,0.552701,349.641701,16.6875,17.0625,15.901316,-1,4526.048061,1,,,,,,,,,
83,716.794273,718.324058,1.52E-05,5.05E-06,,-4.54E-08,0.00001523,0.353279,0.514221,320.669609,16.71875,17,15.894737,-1,4581.256382,1,,,,,,,,,
84,666.794273,666.023819,1.62E-05,6.20E-06,,5.37E-07,0.00001616,0.321235,0.477225,298.561466,16.6875,17,15.894737,-1,4646.05085,1,,,,,,,,,
85,616.794273,619.165001,1.42E-05,4.34E-06,,1.00E-07,0.00001419,0.290393,0.441637,263.131577,16.65625,17,15.894737,-1,4701.37269,1,,,,,,,,,
86,566.794273,565.403954,1.48E-05,5.10E-06,,0.00E+00,0.00001482,0.253944,0.407163,232.88011,16.6875,17,15.896053,-1,4766.222465,1,,,,,,,,,
87,516.794273,518.009743,1.40E-05,4.45E-06,,-2.84E-08,0.00001397,0.221157,0.373504,190.247812,16.6875,17,15.902632,-1,4821.455784,1,,,,,,,,,
88,466.794273,465.013325,1.38E-05,4.40E-06,,-6.15E-08,0.00001384,0.188999,0.340363,166.907679,16.625,17,15.907895,-1,4886.250061,1,,,,,,,,,
89,446.794273,444.70285,1.49E-05,5.57E-06,,1.74E-07,0.00001489,0.176696,0.327184,158.364973,16.65625,17,15.896053,-1,4951.108729,1,,,,,,,,,
